,price
2003,1111.9200439453125
2004,1211.9200439453125
2005,1268.800048828125
2006,1416.5999755859375
2007,1468.3599853515625
2008,903.25
2009,1115.0999755859375
2010,1257.6400146484375
2011,1277.06005859375
2012,1426.18994140625
2013,1848.3599853515625
2014,2058.89990234375
2015,2043.93994140625
2016,2257.830078125
2017,2695.81005859375
2018,2506.85009765625
2019,3230.780029296875
2020,3756.070068359375
2021,4766.18017578125
