ticker,date,price
A,2004-12-21,14.672160148620605
A,2006-12-21,22.39035415649414
A,2005-12-21,21.472354888916016
A,2007-12-21,24.31233215332031
A,2007-01-17,21.488210678100586
A,2009-01-16,12.754334449768065
A,2007-12-22,24.17504501342773
A,2009-12-21,19.55315589904785
A,2008-12-20,10.33552074432373
A,2010-12-20,26.561176300048828
A,2009-12-19,19.55316162109375
A,2011-12-19,21.72354507446289
A,2010-12-21,26.691917419433594
A,2012-12-20,27.24199867248535
A,2011-12-20,22.60609245300293
A,2013-12-19,38.188743591308594
A,2012-12-15,26.83363151550293
A,2014-12-15,36.326114654541016
A,2013-12-20,37.909217834472656
A,2015-12-20,38.74243927001953
A,2014-12-19,38.86179733276367
A,2016-12-18,43.572410583496094
A,2015-12-22,39.11248779296875
A,2017-12-21,65.38730621337889
A,2016-12-20,44.320518493652344
A,2018-12-20,63.69961166381836
A,2017-12-20,65.27110290527344
A,2019-12-20,83.98320007324219
A,2018-12-21,61.84305191040039
A,2020-12-20,117.10856628417969
AAIC,2005-03-15,72.042236328125
AAIC,2007-03-15,25.105815887451172
AAIC,2006-03-16,42.35015869140625
AAIC,2008-03-15,8.292746543884277
AAIC,2007-03-16,24.075359344482425
AAIC,2009-03-15,0.8196318745613098
AAIC,2008-02-29,12.005196571350098
AAIC,2010-02-28,4.385030269622804
AAIC,2009-02-28,0.5303500294685364
AAIC,2011-02-28,7.38734245300293
AAIC,2010-03-16,4.416369438171387
AAIC,2012-03-15,7.215260505676269
AAIC,2011-02-24,7.282034873962402
AAIC,2013-02-23,8.722723007202147
AAIC,2012-02-11,7.00076961517334
AAIC,2014-02-10,9.917997360229492
AAIC,2013-02-22,8.90300178527832
AAIC,2015-02-22,11.18809986114502
AAIC,2014-02-08,9.917996406555176
AAIC,2016-02-08,5.766709804534912
AAIC,2015-02-10,11.106894493103027
AAIC,2017-02-09,8.916918754577637
AAIC,2016-02-09,5.563477993011475
AAIC,2018-02-08,7.764472484588622
AAIC,2017-02-15,8.965481758117676
AAIC,2019-02-15,7.5396461486816415
AAIC,2018-02-21,8.109560012817383
AAIC,2020-02-21,6.6500000953674325
AAIC,2019-02-16,7.42024040222168
AAIC,2021-02-15,4.059999942779541
AAMC,2014-02-07,960.9500122070312
AAMC,2016-02-07,15.0
AAMC,2015-02-20,203.0
AAMC,2017-02-19,75.0
AAMC,2016-03-01,17.299999237060547
AAMC,2018-03-01,65.30000305175781
AAMC,2017-02-28,70.30000305175781
AAMC,2019-02-28,37.650001525878906
AAMC,2020-02-29,20.799999237060547
AAMC,2019-03-01,39.0
AAMC,2021-02-28,23.63999938964844
AAME,2004-03-30,2.7211601734161377
AAME,2006-03-30,2.4637527465820312
AAME,2005-03-29,2.7763185501098646
AAME,2007-03-29,3.612891912460327
AAME,2006-03-31,2.592456579208374
AAME,2008-03-30,1.4065455198287964
AAME,2007-03-31,3.67724347114563
AAME,2009-03-30,0.6986762285232544
AAME,2008-03-29,1.406545639038086
AAME,2010-03-29,1.2686491012573242
AAME,2009-03-31,0.6986762881278992
AAME,2011-03-31,2.023093938827514
AAME,2010-03-31,1.3513870239257812
AAME,2012-03-30,2.664907217025757
AAME,2011-03-26,1.9581323862075808
AAME,2013-03-25,3.186629295349121
AAME,2012-03-24,2.5799086093902592
AAME,2014-03-24,3.5694077014923096
AAME,2013-03-26,3.1292121410369886
AAME,2015-03-26,3.8876991271972656
AAME,2014-03-27,3.559786558151245
AAME,2016-03-26,3.810088634490967
AAME,2015-03-26,3.8876993656158447
AAME,2017-03-25,3.6597931385040283
AAME,2018-03-26,3.18783974647522
AAME,2017-03-29,3.610995769500733
AAME,2019-03-29,2.516620397567749
AAME,2018-03-24,3.18783974647522
AAME,2020-03-23,2.2283637523651123
AAME,2019-03-26,2.5264892578125
AAME,2021-03-25,3.92948055267334
AAOI,2015-03-06,12.40999984741211
AAOI,2017-03-05,51.459999084472656
AAOI,2016-03-04,18.239999771118164
AAOI,2018-03-04,27.53000068664551
AAOI,2017-03-14,48.18999862670898
AAOI,2019-03-14,13.84000015258789
AAOI,2018-03-09,28.70000076293945
AAOI,2020-03-08,7.71999979019165
AAOI,2019-02-28,13.5
AAOI,2021-02-27,9.020000457763672
AAON,2004-03-27,3.3998792171478267
AAON,2006-03-27,3.827765941619873
AAON,2005-03-12,2.520885705947876
AAON,2007-03-12,4.387723445892334
AAON,2006-03-16,3.6270911693573
AAON,2008-03-15,4.439850807189941
AAON,2007-03-15,4.7634758949279785
AAON,2009-03-14,4.650016784667969
AAON,2008-03-13,4.44498348236084
AAON,2010-03-13,5.5763068199157715
AAON,2009-03-12,4.77252197265625
AAON,2011-03-12,7.744900226593018
AAON,2010-03-11,5.75678825378418
AAON,2012-03-10,7.5406341552734375
AAON,2011-03-15,7.672165870666504
AAON,2013-03-14,10.860301971435547
AAON,2012-03-09,7.552894115447997
AAON,2014-03-09,19.12140655517578
AAON,2013-03-14,10.860299110412598
AAON,2015-03-14,21.31944274902344
AAON,2014-03-14,17.369394302368164
AAON,2016-03-13,25.02017593383789
AAON,2015-03-13,21.034547805786133
AAON,2017-03-12,34.14434051513672
AAON,2016-02-27,23.764856338500977
AAON,2018-02-26,34.77954864501953
AAON,2017-02-24,33.32332992553711
AAON,2019-02-24,41.511940002441406
AAON,2018-02-23,34.43904495239258
AAON,2020-02-23,53.137550354003906
AAON,2019-02-27,40.805023193359375
AAON,2021-02-26,76.69319152832031
AAPL,2004-12-18,0.9602488279342652
AAPL,2006-12-18,2.6171071529388428
